college_name,city,state,nirf_rank,nirf_score,category,careers,min_cutoff,fees_lpa,avg_package_lpa
All India Shri Shivaji Memorial Society`s Institute of Information Technology,Pune,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
"Alvas Institute of Engineering and Technology, MOODBIDRI",Dakshina Kannada,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
AMAL JYOTHI COLLEGE OF  ENGINEERING,Kottayam,Kerala,,,Engineering,"Technology,Science",60,1.0,5.0
"Aman Bhalla Institute of Engg. & Tech, Jhakolari, Pathankot",Pathankot,Punjab,,,Engineering,"Technology,Science",60,1.0,5.0
Ambala College of Engineering & Applied Research,Ambala Cantt -133101,Haryana,,,Engineering,"Technology,Science",60,1.0,5.0
Ambalika Institute of Management and Technology,Lucknow,Uttar Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Amity University,Gautam Budh Nagar,Uttar Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Amity University,North Twenty Four Parganas,West Bengal,,,Engineering,"Technology,Science",60,1.0,5.0
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,,,Engineering,"Technology,Science",60,1.0,5.0
Amity University Patna,Patna,Bihar,,,Engineering,"Technology,Science",60,1.0,5.0
"Amity University Rajasthan,Jaipur",Jaipur,Rajasthan,,,Engineering,"Technology,Science",60,1.0,5.0
"Amity University, Gwalior",Gwalior,Madhya Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
"Amity University, Jharkhand",Ranchi,Jharkhand,,,Engineering,"Technology,Science",60,1.0,5.0
"Amity University, Mumbai",Mumbai,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
"Amity University, Raipur",Raipur,Chhattisgarh,,,Engineering,"Technology,Science",60,1.0,5.0
"Amrita College of Engineering and Technology, Nagercoil",NAGERCOIL,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Amritsar Group of Colleges,Amritsar,Punjab,,,Engineering,"Technology,Science",60,1.0,5.0
"Amrutvahini College of Engineering, Sangamner",Sangamner,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
ANAND INSTITUTE OF HIGHER TECHNOLOGY,Chennai,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Anand International College of Engineering,Jaipur,Rajasthan,,,Engineering,"Technology,Science",60,1.0,5.0
Andhra Loyola Institute of Engineering and Technology,Vijayawada,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Angadi Instittute of Technology and Management,Belagavi,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
Angel College of Engineering and Technology,Tiruppur,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY & SCIENCES,Visakhapatnam,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Anjalai Ammal Mahalingam Engineering College,Thiruvarur,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
ANJUMAN COLLEGE OF ENGINEERING & TECHNOLOGY,Nagpur,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
Anna University,Chennai,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Annai Vailankanni College of Engineering,Nagercoil,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
ANNAMACHARYA INSTITUTE OF TECHNOLOGY & SCIENCES,Rajampet,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Annamacharya Institute of Technology & Sciences,Tirupati,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES,Kadapa,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Annamalai University,Annamalainagar,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Annapoorana Engineering College,Salem,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
